id,"libelle","created_at","updated_at","deleted_at",type_demande_id
1,"Status","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,1
2,"Contrat de bail","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,1
3,"DSV","2023-02-10 14:42:35","2023-02-23 11:52:44",NULL,1
4,"Lste des dirigeants","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,1
5,"Déclaration sur l'honneur","2023-02-10 14:42:54","2023-02-23 11:53:10",NULL,1
6,"IDU","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,1
7,"Annexe IDU","2023-02-01 12:05:49","2023-03-22 16:04:03",NULL,1
8,"PV de dépôt","2023-02-10 14:42:35","2023-02-23 11:52:44",NULL,1
9,"Contrat de domiciliation","2023-02-10 14:42:47","2023-03-31 10:08:22",NULL,1
10,"Avis de constitution","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,1
11,"DFE","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,1
12,"Décharge de demande DFE","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,1
13,"Immatriculation employeur CNPS","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,1
15,"IDU","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,9
16,"Annexe IDU","2023-02-01 12:05:49","2023-03-22 16:04:07",NULL,9
17,"PV de dépôt","2023-02-10 14:42:35","2023-02-23 11:52:44",NULL,9
18,"Contrat de domiciliation","2023-02-10 14:42:47","2023-03-31 10:08:25",NULL,9
19,"Avis de constitution","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,9
20,"DFE","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,9
21,"Décharge de demande DFE","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,9
22,"Immatriculation employeur CNPS","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,9
23,"Contrat de bail","2023-02-10 14:42:54","2023-03-31 10:08:43",NULL,9
24,"IDU","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,2
25,"Annexe IDU","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,2
26,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,2
27,"Status","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,2
28,"PV de dépôt","2023-02-10 14:42:35","2023-02-23 11:52:44",NULL,2
29,"Contrat de domiciliation","2023-02-10 14:42:47","2023-03-31 10:08:46",NULL,2
30,"Avis de constitution","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,2
31,"DFE","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,2
32,"DNSV","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,2
33,"Décharge de demande DFE","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,2
34,"Immatriculation employeur CNPS","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,2
35,"Contrat de bail","2023-02-10 14:42:54","2023-03-31 10:08:49",NULL,2
36,"IDU","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,17
37,"Annexe IDU","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,17
38,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,17
39,"Status","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,17
40,"PV de dépôt","2023-02-10 14:42:35","2023-02-23 11:52:44",NULL,17
41,"Contrat de domiciliation","2023-02-10 14:42:47","2023-03-31 10:08:53",NULL,17
42,"Avis de constitution","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,17
43,"DFE","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,17
44,"DNSV","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,17
45,"Décharge de demande DFE","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,17
46,"Immatriculation employeur CNPS","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,17
47,"Contrat de bail","2023-02-10 14:42:54","2023-03-31 10:08:56",NULL,17
48,"Statuts","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,18
49,"Règlements intérieur","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,18
50,"Procès-verbal","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,18
51,"Lettre de demande d’agrément au préfet","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,18
52,"Recepissé de dépôt","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,18
53,"Liste de présence","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,18
54,"Statuts et annexes","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,16
55,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,16
56,"NINEA","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,16
57,"Statuts et annexes","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,19
58,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,19
59,"NINEA","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,19
60,"Statuts et annexes","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,20
61,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,20
62,"NINEA","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,20
63,"Statuts et annexes","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,21
64,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,21
65,"NINEA","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,21
66,"Statut","2022-11-22 17:36:16","2023-04-03 15:38:29",NULL,22
67,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,22
68,"IFU DES ASSOCIÉS ET DE LA SOCIÉTÉ","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,22
69,"DECLARATION D’ETABLISSEMENT","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,22
70,"CARTE PROFESSIONNELLE","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,22
71,"CARTE IMPORTATEUR","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,22
72,"ANONNCE LÉGALE","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,22
73,"IMMATRICULATION EMPLOYEUR À LA CNSS","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,22
74,"Statut","2022-11-22 17:36:16","2023-04-03 15:38:31",NULL,23
75,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,23
76,"IFU DES ASSOCIÉS ET DE LA SOCIÉTÉ","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,23
77,"DECLARATION D’ETABLISSEMENT","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,23
78,"CARTE PROFESSIONNELLE","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,23
79,"CARTE IMPORTATEUR","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,23
80,"ANONNCE LÉGALE","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,23
81,"IMMATRICULATION EMPLOYEUR À LA CNSS","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,23
82,"Statut","2022-11-22 17:36:16","2023-04-03 15:38:33",NULL,24
83,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,24
84,"IFU DES ASSOCIÉS ET DE LA SOCIÉTÉ","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,24
85,"DECLARATION D’ETABLISSEMENT","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,24
86,"CARTE PROFESSIONNELLE","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,24
87,"CARTE IMPORTATEUR","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,24
88,"ANONNCE LÉGALE","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,24
89,"IMMATRICULATION EMPLOYEUR À LA CNSS","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,24
90,"Statut","2022-11-22 17:36:16","2023-04-03 15:38:35",NULL,25
91,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,25
92,"IFU DES ASSOCIÉS ET DE LA SOCIÉTÉ","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,25
93,"DECLARATION D’ETABLISSEMENT","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,25
94,"CARTE PROFESSIONNELLE","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,25
95,"CARTE IMPORTATEUR","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,25
96,"ANONNCE LÉGALE","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,25
97,"IMMATRICULATION EMPLOYEUR À LA CNSS","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,25
98,"Status","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,32
99,"Bulletin des Identifiants","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,32
100,"Taxe Professionnelle","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,32
101,"Identifiant fiscale","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,32
102,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,32
103,"Status","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,33
104,"Bulletin des Identifiants","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,33
105,"Taxe Professionnelle","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,33
106,"Identifiant fiscale","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,33
107,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,33
108,"Certificat négatif","2023-02-01 12:05:49","2023-03-14 09:47:45",NULL,32
109,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,34
110,"Taxe Professionnelle","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,34
111,"Bulletin des Identifiants","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,34
112,"Status","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,34
113,"Identifiant fiscale","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,34
114,"RCCM","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,34
115,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,35
116,"Taxe Professionnelle","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,35
117,"Bulletin des Identifiants","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,35
118,"Status","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,35
119,"Identifiant fiscale","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,35
120,"RCCM","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,35
121,"Document récapitulatif du questionnaire demande","2022-11-22 17:36:16","2023-03-21 17:31:10",NULL,NULL
122,"Statuts et annexes","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,39
123,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,39
124,"Identifiant Fiscal Unique (IFU)","2023-02-10 14:42:35","2023-02-23 11:52:44",NULL,39
125,"Carte Professionnelle De Commerçant (CPC)","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,39
126,"Notification Employeur (CNSS","2023-02-10 14:42:54","2023-02-23 11:53:10",NULL,39
127,"Fiche de déclaration sur l'honneur","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,39
128,"DSV","2023-02-01 12:05:49","2023-03-22 16:04:03",NULL,39
129,"Déclaration de régularité et de conformité (DRC)","2023-02-10 14:42:35","2023-02-23 11:52:44",NULL,39
130,"Contrat de bail ","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,39
131,"Procès Verbal de l’assemblée générale constitutive","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,39
132,"Fiche de localisation visée par le service des impôts dont relève l’entreprise","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,39
133,"Statuts et annexes","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,40
134,"RCCM","2023-02-01 12:05:49","2023-02-23 11:52:30",NULL,40
135,"Identifiant Fiscal Unique (IFU)","2023-02-10 14:42:35","2023-02-23 11:52:44",NULL,40
136,"Carte Professionnelle De Commerçant (CPC)","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,40
137,"Notification Employeur (CNSS","2023-02-10 14:42:54","2023-02-23 11:53:10",NULL,40
138,"Fiche de déclaration sur l'honneur","2022-11-22 17:36:16","2023-02-23 11:51:48",NULL,40
139,"DSV","2023-02-01 12:05:49","2023-03-22 16:04:03",NULL,40
140,"Déclaration de régularité et de conformité (DRC)","2023-02-10 14:42:35","2023-02-23 11:52:44",NULL,40
141,"Contrat de bail ","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,40
142,"Procès Verbal de l’assemblée générale constitutive","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,40
143,"Fiche de localisation visée par le service des impôts dont relève l’entreprise","2023-02-10 14:42:47","2023-02-23 11:53:10",NULL,40
144,"Certificat négatif","2023-02-01 12:05:49","2023-03-14 09:47:45",NULL,33
145,"Certificat négatif","2023-02-01 12:05:49","2023-03-14 09:47:45",NULL,34
146,"Certificat négatif","2023-02-01 12:05:49","2023-03-14 09:47:45",NULL,35
